loss,optimizer,cnn_len,dropout,train_accuracy,validation_accuracy,test_accuracy
binary_crossentropy,rmsprop,32,0.4,0.7772,0.7664,0.766596574
binary_crossentropy,rmsprop,32,0.45,0.7784,0.7691,0.759687593
binary_crossentropy,rmsprop,32,0.5,0.7745,0.7694,0.762391107
binary_crossentropy,rmsprop,32,0.55,0.7705,0.7668,0.757284469
binary_crossentropy,rmsprop,32,0.6,0.7714,0.7597,0.747071191
binary_crossentropy,rmsprop,64,0.4,0.8024,0.7822,0.783718833
binary_crossentropy,rmsprop,64,0.45,0.8038,0.7897,0.789426253
binary_crossentropy,rmsprop,64,0.5,0.7998,0.7773,0.779513366
binary_crossentropy,rmsprop,64,0.55,0.7939,0.7882,0.782216881
binary_crossentropy,rmsprop,64,0.6,0.798,0.7818,0.77590868
binary_crossentropy,rmsprop,128,0.4,0.8267,0.7942,0.797236406
binary_crossentropy,rmsprop,128,0.45,0.819,0.7923,0.791228596
binary_crossentropy,rmsprop,128,0.5,0.8171,0.792,0.79333133
binary_crossentropy,rmsprop,128,0.55,0.8178,0.7871,0.789125863
binary_crossentropy,rmsprop,128,0.6,0.8203,0.7998,0.79933914
binary_crossentropy,adam,32,0.4,0.7977,0.7852,0.784620005
binary_crossentropy,adam,32,0.45,0.797,0.7826,0.782216881
binary_crossentropy,adam,32,0.5,0.7835,0.7826,0.773505556
binary_crossentropy,adam,32,0.55,0.7924,0.7796,0.772303994
binary_crossentropy,adam,32,0.6,0.7939,0.7777,0.775007509
binary_crossentropy,adam,64,0.4,0.8206,0.7946,0.798137578
binary_crossentropy,adam,64,0.45,0.8182,0.7998,0.794833282
binary_crossentropy,adam,64,0.5,0.8169,0.795,0.79363172
binary_crossentropy,adam,64,0.55,0.8079,0.7901,0.784620005
binary_crossentropy,adam,64,0.6,0.8104,0.789,0.791829377
binary_crossentropy,adam,128,0.4,0.8392,0.8059,0.80534695
binary_crossentropy,adam,128,0.45,0.8379,0.8006,0.802042654
binary_crossentropy,adam,128,0.5,0.8378,0.8036,0.79933914
binary_crossentropy,adam,128,0.55,0.836,0.8062,0.801441873
binary_crossentropy,adam,128,0.6,0.834,0.8029,0.802943826
binary_crossentropy,nadam,32,0.4,0.8325,0.81,0.804445779
binary_crossentropy,nadam,32,0.45,0.8346,0.8062,0.803244217
binary_crossentropy,nadam,32,0.5,0.8314,0.8029,0.795133673
binary_crossentropy,nadam,32,0.55,0.8361,0.8014,0.799939921
binary_crossentropy,nadam,32,0.6,0.8315,0.8047,0.800841092
binary_crossentropy,nadam,64,0.4,0.8524,0.8092,0.806548512
binary_crossentropy,nadam,64,0.45,0.8583,0.8066,0.807149293
binary_crossentropy,nadam,64,0.5,0.8503,0.8059,0.805046559
binary_crossentropy,nadam,64,0.55,0.8519,0.8141,0.815560227
binary_crossentropy,nadam,64,0.6,0.8537,0.8115,0.807750074
binary_crossentropy,nadam,128,0.4,0.8735,0.8186,0.82306999
binary_crossentropy,nadam,128,0.45,0.8759,0.7998,0.819765695
binary_crossentropy,nadam,128,0.5,0.8719,0.8171,0.821868428
binary_crossentropy,nadam,128,0.55,0.8757,0.8085,0.821267647
binary_crossentropy,nadam,128,0.6,0.8728,0.8119,0.826073895
binary_crossentropy,sgd,32,0.4,0.5166,0.5576,0.554821266
binary_crossentropy,sgd,32,0.45,0.5105,0.5362,0.53950135
binary_crossentropy,sgd,32,0.5,0.5076,0.5712,0.567437667
binary_crossentropy,sgd,32,0.55,0.5154,0.5851,0.577951335
binary_crossentropy,sgd,32,0.6,0.5219,0.5531,0.568639229
binary_crossentropy,sgd,64,0.4,0.5264,0.5621,0.571042353
binary_crossentropy,sgd,64,0.45,0.5034,0.5362,0.53980174
binary_crossentropy,sgd,64,0.5,0.5088,0.5644,0.56893962
binary_crossentropy,sgd,64,0.55,0.5128,0.5426,0.533793932
binary_crossentropy,sgd,64,0.6,0.5324,0.5704,0.577050163
binary_crossentropy,sgd,128,0.4,0.5296,0.5847,0.589966955
binary_crossentropy,sgd,128,0.45,0.5284,0.5922,0.59267047
binary_crossentropy,sgd,128,0.5,0.5339,0.5678,0.580354459
binary_crossentropy,sgd,128,0.55,0.5449,0.6301,0.625112645
binary_crossentropy,sgd,128,0.6,0.5362,0.6121,0.601682185
